song_title,song_length,song_artists,album_title
Opening Song - Merry-Go-Round of Life,2:34,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
The Merry Light Cavalrymen,0:51,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
A Walk in the Skies,2:15,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Heartbeat,0:21,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Witch of the Waste,0:59,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Sophie in Exile,4:20,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
The Magic Door,5:27,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Irremovable Spell,0:45,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Cleaning House,1:23,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
To Star Lake,4:13,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Unspoken Love,0:28,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
In the Rain,1:28,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Vanity and Friendship,3:58,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
A Ninety-Year-Old Girl,1:01,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Saliman's Spell - Return to the Castle,5:23,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
The Secret Cave,2:34,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Moving to a New House,3:06,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
The Flower Garden,2:58,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Run!,0:57,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
You're in Love,1:12,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Family,1:25,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Love Under Fire,2:57,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Escape,1:33,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Sophie's Castle,2:39,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
The Boy Who Swallowed a Star,7:30,Joe Hisaishi,Howl's Moving Castle (Original Soundtrack)
Ending Song - Merry-Go-Round of Life,6:50,Chieko Baisho,Howl's Moving Castle (Original Soundtrack)
Hey Let’s Go – Opening Theme Song,2:44,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
The Village in May,1:39,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
A Haunted House!,1:24,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Mei and the Dust Bunnies,1:34,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Evening Wind,1:01,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Not Afraid,0:44,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Let's Go to the Hospital,1:22,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Mother,1:07,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
A Little Monster,3:55,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Totoro,2:49,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
A Huge Tree in the Tsukamori Forest,2:15,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
A Lost Child,3:48,Joe Hisaishi & Azumi Inoue,My Neighbor Totoro (Original Soundtrack)
The Path of the Wind (Instrumental),3:17,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
A Soaking Wet Monster,2:34,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Moonlight Flight,2:06,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Mei is Missing,2:32,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Cat Bus,2:11,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
I'm So Glad,1:15,Joe Hisaishi,My Neighbor Totoro (Original Soundtrack)
Hey Let’s Go – With Chorus,2:43,Joe Hisaishi & Azumi Inoue,My Neighbor Totoro (Original Soundtrack)
One Summer's Day,3:10,Joe Hisaishi,Spirited Away (Original Soundtrack)
A Road to Somewhere,2:08,Joe Hisaishi,Spirited Away (Original Soundtrack)
The Empty Restaurant,3:16,Joe Hisaishi,Spirited Away (Original Soundtrack)
Nighttime Coming,2:00,Joe Hisaishi,Spirited Away (Original Soundtrack)
